inf,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01,2.040000000000000213e+01
7.439999999999999147e+01,inf,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01,7.439999999999999147e+01
2.808000000000000185e+01,2.808000000000000185e+01,inf,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01,2.808000000000000185e+01
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,inf,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01,7.540000000000000568e+01
7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,inf,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01,7.679999999999999716e+01
6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,inf,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01,6.084000000000000341e+01
2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,inf,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01,2.183999999999999986e+01
4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,inf,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01,4.901000000000000512e+01
2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,inf,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01,2.160000000000000142e+01
